Model,t,predicted_signal_norefl,predicted_signal_norefl_Sigma
base,0,0.988495437,0.05
,0.01,0.988495437,0.05
,0.02,0.988495437,0.05
,0.03,0.988495437,0.078
,0.06,0.988495437,0.065
,0.07,0.988495437,0.087
,0.08,0.988495437,0.087
,0.09,0.988495437,0.097
,0.13,0.988495437,0.05
,0.17,0.988495437,0.04
,0.21,0.988495437,0.06
,0.25,0.988495437,0.01
,0.29,0.988495437,0.04
,0.33,0.988495437,0.07
,0.37,0.988495437,0.08
,0.41,0.988495437,0.05
,0.45,0.988495437,0.08
,0.49,0.988495437,0.06
,0.53,0.988495437,0.09
,0.57,0.988495437,0.056
,0.61,0.988495437,0.076
,0.65,0.988495437,0.066
,0.69,0.988495437,0.018
,0.73,0.988495437,0.011
,0.77,0.988495437,0.019
,0.81,0.988495437,0.011
,0.85,0.988495437,0.003
,0.88,0.988495437,0.006
,0.91,0.988495437,0.013
,0.94,0.988495437,0.017
,0.97,0.988495437,0.019
,1,0.987501962,0.012
,1.1,0.987692073,0.013
,1.2,0.986090189,0.014
,1.3,0.987980715,0.015
,1.4,0.98665375,0.016
,1.5,0.986549075,0.017
,1.6,1.000801256,0.018
,1.7,0.982118175,0.019
,1.8,0.966631551,0.011
,1.9,0.953337997,0.014
,2,0.944409687,0.015
,2.1,0.936068124,0.013
,2.2,0.928465927,0.012
,2.3,0.927117255,0.016
,2.4,0.92356161,0.017
,2.5,0.920708061,0.018
,2.6,0.919002489,0.013
,2.7,0.916923288,0.018
,2.8,0.914478529,0.011
,2.9,0.910709138,0.005
,3,0.905226909,0.006
,3.1,0.904194775,0.001
,3.2,0.902499921,0.0001
,3.3,0.898606839,0.01
,3.4,0.898295997,0.01
,3.5,0.896795246,0.005
,3.6,0.896047091,0.012
,3.7,0.895494562,0.014
,3.8,0.893628703,0.015
,3.9,0.893337594,0.018
,4,0.891889449,0.011
,4.1,0.891483754,0.003
,4.2,0.892112793,0.004
,4.3,0.890261285,0.001
,4.4,0.889328983,0.006
,4.5,0.886929476,0.009
,4.6,0.886336585,0.005
,4.7,0.885450521,0.01
,4.8,0.886824352,0.011
,4.9,0.887489539,0.012
,5,0.88875116,0.013
,5.1,0.888091714,0.014
,5.2,0.886981859,0.015
,5.3,0.885809485,0.016
,5.4,0.883891423,0.017
,5.5,0.883284494,0.007
,5.6,0.882711156,0.001
,5.7,0.882098441,0.004
,5.8,0.880810988,0.006
,5.9,0.882027402,0.006
,6,0.881632515,0.008
,6.1,0.882501267,0.004
,6.2,0.884773181,0.002
,6.3,0.885478596,0.007
,6.4,0.886939702,0.001
,6.5,0.887802355,0.009
,6.6,0.888318287,0.011
,6.7,0.886848974,0.018
,6.8,0.88644431,0.017
,6.9,0.886007579,0.016
,7,0.886048436,0.013
,7.1,0.884152663,0.014
,7.2,0.884523512,0.015
,7.3,0.885047382,0.019
,7.4,0.884494002,0.018
,7.5,0.884076511,0.017
,7.6,0.884633748,0.016
,7.7,0.884288418,0.015
,7.8,0.882821348,0.014
,7.9,0.882759816,0.002
,8,0.881369391,0.006
,8.1,0.878996165,0.013
,8.2,0.878174324,0.006
,8.3,0.878768965,0.001
,8.4,0.878229532,0.009
,8.5,0.877212692,0.019
,8.6,0.878265725,0.004
,8.7,0.867371634,0.014
,8.8,0.866282677,0.007
,8.9,0.86558955,0.011
,9,0.865166588,0.005
,9.1,0.865569683,0.013
,9.2,0.865224487,0.014
,9.3,0.866470412,0.016
,9.4,0.865247673,0.018
,9.5,0.864703801,0.011
,9.6,0.865173584,0.009
,9.7,0.868131808,0.016
,9.8,0.867561879,0.02
,9.9,0.867956139,0.002
,10,0.869085682,0.06
,10.1,0.870405382,0.07
,10.2,0.87037493,0.08
,10.4,0.870306581,0.02
,10.6,0.869971387,0.03
,10.8,0.869976903,0.01
,11,0.869112232,0.03
,11.2,0.867428456,0.04
,11.4,0.867032134,0.02
,11.6,0.866860993,0.06
,11.8,0.867476982,0.043
,12,0.867549142,0.023
,12.2,0.866557282,0.012
,12.4,0.866008925,0.043
,12.6,0.865609059,0.024
,12.8,0.866905886,0.025
,13,0.867437246,0.026
,13.2,0.867553851,0.023
,13.4,0.868886288,0.012
,13.6,0.86831739,0.014
,13.8,0.866807176,0.005
,14,0.86942868,0.027
,14.2,0.869465635,0.026
,14.4,0.869965512,0.029
,14.6,0.870112165,0.03
,14.8,0.870991412,0.021
,15,0.870051751,0.02
